manga_id,chapter_id,volume,chapter_number,translated_language,publish_at,readable_at,pages
0e117066-f6e7-44a7-a31f-34bf27b4e3fa,615501b7-0199-4b52-9477-3ffcd6657a30,1,1,fr,2026-09-13T19:51:59+00:00,2026-09-13T19:51:59+00:00,120
105c2a3e-0235-44a4-9b8c-42ae2c555e4e,d2a970e9-8379-4eb2-a91a-387d0c95d6a8,,1,en,2021-12-27T14:45:38+00:00,2021-12-27T14:45:38+00:00,29
105c2a3e-0235-44a4-9b8c-42ae2c555e4e,e7b7f444-95b4-4c5e-b673-e1c30751e66d,,2,en,2021-12-27T14:49:28+00:00,2021-12-27T14:49:28+00:00,15
105c2a3e-0235-44a4-9b8c-42ae2c555e4e,d622707d-dcac-44e1-a074-56fb9379eebc,,3,en,2021-12-30T06:01:38+00:00,2021-12-30T06:01:38+00:00,21
105c2a3e-0235-44a4-9b8c-42ae2c555e4e,71bedc22-26c7-46bf-97a1-76cae2492b8b,,4,en,2021-12-30T06:03:45+00:00,2021-12-30T06:03:45+00:00,15
105c2a3e-0235-44a4-9b8c-42ae2c555e4e,6126321a-4a91-4a8e-9ab1-78e90db15235,,5,en,2022-01-03T03:57:25+00:00,2022-01-03T03:57:25+00:00,16
105c2a3e-0235-44a4-9b8c-42ae2c555e4e,ad89cebc-dcf1-4aa0-a42f-80a63d8fe967,,6,en,2022-01-03T04:06:34+00:00,2022-01-03T04:06:34+00:00,13
105c2a3e-0235-44a4-9b8c-42ae2c555e4e,82d0b603-71ea-4fe4-a3c1-4fba4e70deb7,,7,en,2022-01-08T15:24:19+00:00,2022-01-08T15:24:19+00:00,12
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,dc7909ef-8719-4f37-b0eb-8eb1a3d2f1ff,,1,en,2026-09-12T14:28:18+00:00,2026-09-12T14:28:18+00:00,68
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,c1f14594-eefe-4125-820d-4b611a3cc188,,2,en,2026-09-12T14:29:46+00:00,2026-09-12T14:29:46+00:00,53
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,746ce42e-9255-4a9d-8f58-645d9017bba5,,3,en,2026-09-12T14:30:32+00:00,2026-09-12T14:30:32+00:00,54
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,db9762d3-d5b7-4713-abf9-5c373a2217ea,,4,en,2026-09-12T14:31:43+00:00,2026-09-12T14:31:43+00:00,55
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,01630425-33b8-4282-b2d9-9183adec30cd,,5,en,2026-09-12T14:32:32+00:00,2026-09-12T14:32:32+00:00,57
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,de9b39b6-bc7e-4811-9c77-92862d68a285,,6,en,2026-09-12T14:33:35+00:00,2026-09-12T14:33:35+00:00,58
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,76b9c9e3-6d24-47e0-9345-57fedd426abe,,7,en,2026-09-19T02:57:36+00:00,2026-09-19T02:57:36+00:00,64
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,deba1e48-9fdc-4074-ae00-b77cb69f7d63,,8,en,2026-09-19T03:00:36+00:00,2026-09-19T03:00:36+00:00,53
2c4c69a9-0f92-4af9-b22b-5ae66c934c32,cca4b7bc-21ae-4058-b1ae-e0d84888c973,,9,en,2026-09-19T03:01:54+00:00,2026-09-19T03:01:54+00:00,49
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,4b50e408-369f-4bd5-881f-29b4964349ca,,25,en,2025-01-28T16:08:51+00:00,2025-01-28T16:08:51+00:00,80
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,b06f5e11-fb94-466d-9485-9c6f38a8b90b,,26,en,2025-01-30T16:15:30+00:00,2025-01-30T16:15:30+00:00,109
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,25d3c7a2-2532-43dd-8934-5eb00569b7cc,,27,en,2025-02-01T22:12:00+00:00,2025-02-01T22:12:00+00:00,109
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,dd980d5d-fef0-4ef9-a148-135415fc500c,,28,en,2025-02-05T16:30:23+00:00,2025-02-05T16:30:23+00:00,125
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,4d4f3280-7cc1-4f37-835c-3fb5b613c006,,29,en,2025-02-10T15:54:26+00:00,2025-02-10T15:54:26+00:00,115
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,1e9e1b59-ae4b-4086-ba37-03d7b3731dec,,30,en,2025-02-11T18:19:54+00:00,2025-02-11T18:19:54+00:00,111
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,842437f5-283f-435c-894e-c7f1af121fe3,,31,en,2025-02-14T16:43:20+00:00,2025-02-14T16:43:20+00:00,107
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,eea5027b-8965-4cb5-88f6-4398f4a90fb7,,32,en,2025-02-18T17:34:10+00:00,2025-02-18T17:34:10+00:00,112
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,25cc84ac-2933-4229-9119-11ed35a21d28,,33,en,2025-02-21T18:03:10+00:00,2025-02-21T18:03:10+00:00,178
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,1b7b951b-459a-4bd8-9c1c-5d34db9f96fb,,34,en,2025-02-23T21:14:11+00:00,2025-02-23T21:14:11+00:00,173
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,bf1c9fc2-b6e3-41b3-a2e6-d1e2c38deb6e,,35,en,2025-02-28T17:48:04+00:00,2025-02-28T17:48:04+00:00,113
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,751da291-b9c2-4dd0-9a3d-6bd7b84b50c5,,36,en,2025-03-18T20:47:32+00:00,2025-03-18T20:47:32+00:00,85
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,d7a7e4af-f8bf-4a45-af4d-bfe018d9bd82,,37,en,2025-03-18T20:58:47+00:00,2025-03-18T20:58:47+00:00,71
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,e2aa1c4b-22e3-4ab6-8d6b-25682e858901,,38,en,2025-03-20T21:28:22+00:00,2025-03-20T21:28:22+00:00,124
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,0f5950b5-c346-48d7-a45e-6861146385e5,,39,en,2025-03-31T16:22:11+00:00,2025-03-31T16:22:11+00:00,120
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,d9636cbe-7cd3-40d1-885f-7bdf00776e79,,40,en,2025-04-25T01:18:14+00:00,2025-04-25T01:18:14+00:00,119
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,eb0c9669-beb5-4419-b271-2a377e07ec2c,,41,en,2025-04-25T01:44:08+00:00,2025-04-25T01:44:08+00:00,73
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,cd4352bd-4fa1-492a-a954-48e7f943c15e,,42,en,2025-04-25T01:49:01+00:00,2025-04-25T01:49:01+00:00,89
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,0f229b4d-c0bb-4057-bfb0-bd313ddad414,,43,en,2025-05-10T01:38:11+00:00,2025-05-10T01:38:11+00:00,81
3fc74fb2-ae93-4bb0-b912-a4c5d5f7b594,a92bed04-529c-41bb-bf10-20af1f811f8d,,44,en,2025-05-10T01:43:46+00:00,2025-05-10T01:43:46+00:00,68
429d98fa-1352-4adf-94d1-969efafec386,293afeb9-9140-4b8d-87b6-0a9f9ada45ce,,80,id,2025-09-28T08:05:44+00:00,2025-09-28T08:05:44+00:00,15
429d98fa-1352-4adf-94d1-969efafec386,ac446c88-5e23-4fa1-922c-3f5500f0674e,,81,id,2025-09-28T08:13:45+00:00,2025-09-28T08:13:45+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,563c138b-a354-45a4-ac22-483068e10494,,82,id,2025-09-28T08:24:04+00:00,2025-09-28T08:24:04+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,30bf94d7-aee6-4291-b0fa-6488dd9dc5ba,,83,id,2025-09-28T08:33:47+00:00,2025-09-28T08:33:47+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,89e55e03-8070-468f-ab63-194805f20406,,84,id,2025-09-28T08:37:25+00:00,2025-09-28T08:37:25+00:00,15
429d98fa-1352-4adf-94d1-969efafec386,3db9c4f7-ee96-4343-917e-80f94dcc12ea,,85,id,2025-09-28T08:44:38+00:00,2025-09-28T08:44:38+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,9466fbf5-b3c1-4c54-9bab-3f40471eb106,,86,id,2025-10-12T11:39:42+00:00,2025-10-12T11:39:42+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,d697eb75-1619-44f5-894f-1ff12c718aaa,,87,id,2025-10-12T11:42:17+00:00,2025-10-12T11:42:17+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,4ae65743-f577-43f9-a08d-e2a3e72830b7,,88,id,2025-10-12T11:44:07+00:00,2025-10-12T11:44:07+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,76ea4244-b1ee-4001-9465-6d141402c242,,89,id,2025-10-12T11:45:51+00:00,2025-10-12T11:45:51+00:00,15
429d98fa-1352-4adf-94d1-969efafec386,8c5e88b2-ddf6-4204-a6c6-c3dab8f993a9,,90,id,2025-10-12T11:47:50+00:00,2025-10-12T11:47:50+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,912643d3-a878-4dae-a23c-dc46fb6c28ae,,91,id,2025-10-12T11:48:35+00:00,2025-10-12T11:48:35+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,b9b35cb4-76e0-419d-9fbb-ea7b31b6fcc9,,92,id,2025-10-12T11:49:40+00:00,2025-10-12T11:49:40+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,edc72a4a-51b3-4553-bfbc-6c3b2810ea1d,,93,id,2025-10-12T20:03:55+00:00,2025-10-12T20:03:55+00:00,14
429d98fa-1352-4adf-94d1-969efafec386,9076f40c-40af-43fc-8372-0600ad0b827c,,94,id,2025-10-12T20:04:54+00:00,2025-10-12T20:04:54+00:00,14
429d98fa-1352-4adf-94d1-969efafec386,37289d58-8844-4373-a1ff-be18c8fee4ff,,95,id,2025-10-12T20:05:33+00:00,2025-10-12T20:05:33+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,9ee438f3-0ab6-4a7f-a343-56f1ff821aed,,96,id,2025-10-12T20:06:43+00:00,2025-10-12T20:06:43+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,5d34c171-9801-41d4-a2d7-b20f03482ab5,,97,id,2025-10-20T21:43:43+00:00,2025-10-20T21:43:43+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,aff9edf9-7b1e-4d0a-8e63-1ea8a8ba9a7c,,98,id,2025-11-04T06:29:29+00:00,2025-11-04T06:29:29+00:00,18
429d98fa-1352-4adf-94d1-969efafec386,d079134b-a018-433d-9fd9-1f48d3d01040,,99,id,2025-11-21T14:04:24+00:00,2025-11-21T14:04:24+00:00,18
56691e99-ca6d-4360-bae1-0a0dfb85866b,e73c9e1b-f3b2-40c6-980a-fbf620c60d2d,,13,en,2024-12-17T06:15:45+00:00,2024-12-17T06:15:45+00:00,26
56691e99-ca6d-4360-bae1-0a0dfb85866b,a4720462-1222-4c11-8c7f-19080adfdfdf,,14,en,2024-12-17T06:17:54+00:00,2024-12-17T06:17:54+00:00,30
56691e99-ca6d-4360-bae1-0a0dfb85866b,99b9dab7-713d-480b-a76d-34b8001dd06e,,15,en,2024-12-17T06:19:54+00:00,2024-12-17T06:19:54+00:00,29
56691e99-ca6d-4360-bae1-0a0dfb85866b,b2ac0e4f-d404-4ba5-bda2-206c58afd26a,,6,en,2024-12-17T07:01:15+00:00,2024-12-17T07:01:15+00:00,64
56691e99-ca6d-4360-bae1-0a0dfb85866b,0bf3471b-94ac-4d7a-b544-896442794482,,16,en,2024-12-17T07:03:30+00:00,2024-12-17T07:03:30+00:00,52
56691e99-ca6d-4360-bae1-0a0dfb85866b,eb114c28-a345-4578-909d-b81191225fed,,17,en,2024-12-17T07:06:16+00:00,2024-12-17T07:06:16+00:00,70
56691e99-ca6d-4360-bae1-0a0dfb85866b,630e58af-aaed-4353-b506-119d03e6f03a,,18,en,2024-12-17T07:08:55+00:00,2024-12-17T07:08:55+00:00,64
56691e99-ca6d-4360-bae1-0a0dfb85866b,0e8d528a-65c1-404f-9303-56f9177f0c71,,2,pl,2024-12-24T15:01:21+00:00,2024-12-24T15:01:21+00:00,38
56691e99-ca6d-4360-bae1-0a0dfb85866b,61c1184f-2304-4d2c-8288-4c5ae2078f3c,,19,en,2025-01-20T03:45:14+00:00,2025-01-20T03:45:14+00:00,33
56691e99-ca6d-4360-bae1-0a0dfb85866b,6708311f-5d33-426b-a0de-521dc0097540,,20,en,2025-01-20T03:46:40+00:00,2025-01-20T03:46:40+00:00,30
56691e99-ca6d-4360-bae1-0a0dfb85866b,22fb1bb4-4650-4ca8-b4f2-572404af3d49,,21,en,2025-01-20T03:47:54+00:00,2025-01-20T03:47:54+00:00,33
56691e99-ca6d-4360-bae1-0a0dfb85866b,e4ba01ed-61f5-4730-b432-7c0aa94307c1,,22,en,2025-01-20T03:49:15+00:00,2025-01-20T03:49:15+00:00,33
56691e99-ca6d-4360-bae1-0a0dfb85866b,3bd43fa9-82d5-41f7-9b5a-c5195cdd3c66,,23,en,2025-01-20T03:50:30+00:00,2025-01-20T03:50:30+00:00,34
56691e99-ca6d-4360-bae1-0a0dfb85866b,abc9b779-5e51-451a-867c-eea650db322b,,24,en,2025-01-29T05:44:31+00:00,2025-01-29T05:44:31+00:00,31
56691e99-ca6d-4360-bae1-0a0dfb85866b,8207514b-f620-4906-af17-8e261cf82055,,25,en,2025-02-02T18:23:02+00:00,2025-02-02T18:23:02+00:00,32
56691e99-ca6d-4360-bae1-0a0dfb85866b,8710297a-f245-4e21-9bfb-a8a1b132848f,,26,en,2025-02-09T22:30:03+00:00,2025-02-09T22:30:03+00:00,35
56691e99-ca6d-4360-bae1-0a0dfb85866b,d70d4420-f9d9-4790-9051-2c2658138531,,3,pl,2025-02-15T12:07:41+00:00,2025-02-15T12:07:41+00:00,82
56691e99-ca6d-4360-bae1-0a0dfb85866b,37d630bf-21b3-453a-bfd3-25dd61c4764b,,27,en,2025-03-17T05:24:30+00:00,2025-03-17T05:24:30+00:00,29
56691e99-ca6d-4360-bae1-0a0dfb85866b,a041ab63-bf11-46e2-a56c-1cbd6dc5372a,,28,en,2025-04-12T08:32:12+00:00,2025-04-12T08:32:12+00:00,29
56691e99-ca6d-4360-bae1-0a0dfb85866b,f271c05b-1d0c-4dac-81a2-2d89eafdb10d,,4,pl,2025-04-16T08:16:40+00:00,2025-04-16T08:16:40+00:00,101
6a50ffeb-9678-47b4-868e-15fe0febe188,27be3125-d12c-4090-b425-a9844bff2a1e,,1,en,2023-03-11T10:12:08+00:00,2023-03-11T10:12:08+00:00,
6a50ffeb-9678-47b4-868e-15fe0febe188,7469db9c-11ac-4ca0-82a7-3c323bfe7fbc,,2,en,2023-03-11T14:53:05+00:00,2023-03-11T14:53:05+00:00,
6a50ffeb-9678-47b4-868e-15fe0febe188,e3d50ade-42a5-4f95-a147-30a3c90e2a47,,3,en,2023-03-11T16:53:33+00:00,2023-03-11T16:53:33+00:00,
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,2ac1d570-6f60-451d-87d2-6f46b8d1fb2d,,43,id,2026-09-21T05:30:37+00:00,2026-09-21T05:30:37+00:00,21
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,a9a6edeb-57a1-4865-a4b0-684a3002fe3b,,44,id,2026-09-21T05:31:54+00:00,2026-09-21T05:31:54+00:00,27
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,35fd3e09-1d9a-49b2-bf08-77d84752a62e,,45,id,2026-09-21T05:32:59+00:00,2026-09-21T05:32:59+00:00,22
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,63053b6c-f69b-4059-9e7e-7e5a4d99de49,,46,id,2026-09-21T05:34:32+00:00,2026-09-21T05:34:32+00:00,30
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,d323528e-ccca-4609-8043-20435a3f1604,,47,id,2026-09-21T05:36:08+00:00,2026-09-21T05:36:08+00:00,24
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,13a59e34-d371-461b-9a97-138ea41fdc71,,48,id,2026-09-21T05:37:08+00:00,2026-09-21T05:37:08+00:00,20
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,c5ccf90c-2b0a-4367-b32d-751e61b96be7,,49,id,2026-09-21T05:39:00+00:00,2026-09-21T05:39:00+00:00,35
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,566de055-3304-4f16-93f0-ea302d857afd,,50,id,2026-09-21T05:40:16+00:00,2026-09-21T05:40:16+00:00,22
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,7abd3b0c-5ae4-4874-8b09-4c39af2322dd,,51,id,2026-09-21T05:41:43+00:00,2026-09-21T05:41:43+00:00,23
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,049cb6a0-9306-4849-bcf6-2e8365672a96,,52,id,2026-09-21T05:43:02+00:00,2026-09-21T05:43:02+00:00,22
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,70b47f48-fe1b-4e5c-a9e2-5bf0bfbcd10d,,53,id,2026-09-21T05:44:11+00:00,2026-09-21T05:44:11+00:00,22
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,787fed02-0448-4aeb-bdbc-54aa2c19fee5,,54,id,2026-09-21T05:45:31+00:00,2026-09-21T05:45:31+00:00,26
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,5d44975b-1547-4374-9e14-2a60c9e2fa45,,55,id,2026-09-21T05:46:14+00:00,2026-09-21T05:46:14+00:00,21
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,e0e43a1f-07ce-4b3c-9e14-55d7efd24a9f,,56,id,2026-09-21T05:46:59+00:00,2026-09-21T05:46:59+00:00,23
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,05c58c51-13b3-433e-bbbc-646a8501f27f,,57,id,2026-09-21T05:48:21+00:00,2026-09-21T05:48:21+00:00,26
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,9d9eb2dd-7535-461a-a6fb-9f98369d2413,,58,id,2026-09-21T05:49:19+00:00,2026-09-21T05:49:19+00:00,23
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,164afd0a-8429-4545-8b03-4a62c4ed1df0,,59,id,2026-09-21T05:50:20+00:00,2026-09-21T05:50:20+00:00,21
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,c70d015a-0536-4a69-8dd4-765487c588ec,,60,id,2026-09-21T05:51:13+00:00,2026-09-21T05:51:13+00:00,29
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,13bca84f-97ac-4023-9243-936df739bd41,,61,id,2026-09-21T05:53:10+00:00,2026-09-21T05:53:10+00:00,27
6ebc38c9-367a-4fba-ab36-ad9a957ee7d1,92048c39-4849-4ee0-8b09-a31fcb8bcb0c,,62,id,2026-09-21T05:54:27+00:00,2026-09-21T05:54:27+00:00,37
8367fa34-d0b2-480f-bc0d-66307099174b,a2874a66-1e10-4bbb-9fa5-768ba79ae7f1,,1,id,2025-09-22T12:49:21+00:00,2025-09-22T12:49:21+00:00,33
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,cec1ec19-fdb3-4a0e-8940-5960e2771233,1,1,pt-br,2026-08-24T03:34:44+00:00,2026-08-24T03:34:44+00:00,72
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,572941dd-f5bf-4031-8ed1-48a77da86f47,1,2,pt-br,2026-08-24T23:55:28+00:00,2026-08-24T23:55:28+00:00,56
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,5b9614d9-8767-41ba-9f1d-c70ada6fa8ce,1,3,pt-br,2026-08-25T02:16:28+00:00,2026-08-25T02:16:28+00:00,60
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,00e0aaac-15e9-4b49-8efe-925e7ffacb72,1,4,pt-br,2026-08-27T15:56:16+00:00,2026-08-27T15:56:16+00:00,68
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,d27a8bd0-9b8a-4efd-83a7-e2a115f48b2c,1,5,pt-br,2026-08-28T10:30:18+00:00,2026-08-28T10:30:18+00:00,67
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,0c0a5e3d-5431-42e4-9216-d4388d99c056,1,6,pt-br,2026-08-28T10:32:37+00:00,2026-08-28T10:32:37+00:00,48
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,5cc81527-9a21-466b-982c-7c84096025af,1,7,pt-br,2026-08-28T10:35:18+00:00,2026-08-28T10:35:18+00:00,48
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,2f5803a4-d1b0-4d1a-8a64-064813b2882f,1,8,pt-br,2026-08-29T21:47:07+00:00,2026-08-29T21:47:07+00:00,76
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,75259a1f-368a-4274-8306-b715c94ff0f8,1,9,pt-br,2026-09-07T21:32:15+00:00,2026-09-07T21:32:15+00:00,45
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,c1feeb41-3e40-43f4-9ac5-573cc68e89c0,1,10,pt-br,2026-09-07T21:46:15+00:00,2026-09-07T21:46:15+00:00,48
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,c1024154-cb0d-4540-b836-fc8ea3bce813,1,11,pt-br,2026-09-08T02:29:17+00:00,2026-09-08T02:29:17+00:00,61
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,2a934a1b-22ad-429b-b535-9334482f0d60,1,12,pt-br,2026-09-08T10:28:00+00:00,2026-09-08T10:28:00+00:00,67
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,72a83b68-27b7-45f7-bffc-006488795f46,1,13,pt-br,2026-09-08T14:37:41+00:00,2026-09-08T14:37:41+00:00,51
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,2d90497c-b677-402a-8333-4deb48a749d1,1,14,pt-br,2026-09-10T02:56:49+00:00,2026-09-10T02:56:49+00:00,41
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,23a75827-9c7c-440e-849b-cbaf37cd443b,1,15,pt-br,2026-09-10T03:10:11+00:00,2026-09-10T03:10:11+00:00,44
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,0dbcfc83-2e61-4c07-99a5-6e71ed027a42,1,16,pt-br,2026-09-10T03:12:49+00:00,2026-09-10T03:12:49+00:00,47
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,51663670-b8ec-4def-9228-e179dad17739,1,17,pt-br,2026-09-10T10:34:02+00:00,2026-09-10T10:34:02+00:00,45
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,35708eb4-7d54-4773-bbc2-38913d9aab49,1,18,pt-br,2026-09-11T18:58:37+00:00,2026-09-11T18:58:37+00:00,51
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,6e0e92f3-4e15-4785-886b-b4d2a27e2343,1,19,pt-br,2026-09-11T19:01:17+00:00,2026-09-11T19:01:17+00:00,50
9258cef1-3b0a-4a02-bccc-7e34580c5c2b,01e6dd3b-1d57-41b7-b83f-b4a2bebc146c,1,20,pt-br,2026-09-16T10:33:35+00:00,2026-09-16T10:33:35+00:00,59
9cfa0ad8-5c01-4d03-823d-117470f540d7,e88ce2ac-842d-4498-abd5-edbab2a96fd3,,60,en,2023-03-14T14:43:28+00:00,2023-03-14T14:43:28+00:00,23
9cfa0ad8-5c01-4d03-823d-117470f540d7,acf23ff4-b620-424f-9f17-cc9fc000ba07,,61,en,2023-03-14T14:44:12+00:00,2023-03-14T14:44:12+00:00,20
9cfa0ad8-5c01-4d03-823d-117470f540d7,6695eec4-559c-4a59-8d4d-204ad4d80b3d,,62,en,2023-03-14T14:44:28+00:00,2023-03-14T14:44:28+00:00,20
9cfa0ad8-5c01-4d03-823d-117470f540d7,9c5b3152-81ba-4f19-987e-efdb88ce8f11,,63,en,2023-03-14T14:44:56+00:00,2023-03-14T14:44:56+00:00,21
9cfa0ad8-5c01-4d03-823d-117470f540d7,4276f211-d192-48d2-9bf7-f3c94cfbdf94,,64,en,2023-03-14T14:53:37+00:00,2023-03-14T14:53:37+00:00,21
9cfa0ad8-5c01-4d03-823d-117470f540d7,bd3b196d-df08-4f1d-a86a-aea577828cff,,65,en,2023-03-14T14:53:57+00:00,2023-03-14T14:53:57+00:00,21
9cfa0ad8-5c01-4d03-823d-117470f540d7,7a8e07b5-8674-4a0c-abe3-f662cbe1b113,,66,en,2023-03-14T14:54:23+00:00,2023-03-14T14:54:23+00:00,23
9cfa0ad8-5c01-4d03-823d-117470f540d7,3c7cda67-1b3e-46e7-875c-8806a368b1af,,67,en,2023-03-14T14:54:39+00:00,2023-03-14T14:54:39+00:00,23
