snapshot_date,fetched_at,manga_id,title,original_language,status,year,tags,content_rating,follows,average_rating,bayesian_rating,rating_votes,replies_count,latest_chapter_id,latest_volume,latest_chapter_number,latest_translated_language,latest_publish_at,latest_pages
2026-09-23,2026-09-23T18:08:57.087452+00:00,7da0c452-6d40-44db-80a5-9bc8baf558f1,The Father and the Daughter,ko,ongoing,2025,Long Strip|Romance|Fantasy|Full Color,safe,2482,8.4135,8.265925172394706,,3,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,8367fa34-d0b2-480f-bc0d-66307099174b,I’d Rather Live as a Villain,ko,ongoing,2025,Long Strip|Office Workers|Drama|Web Comic|Adaptation|Full Color,safe,45,10,8.127136567669405,,0,a2874a66-1e10-4bbb-9fa5-768ba79ae7f1,,1,id,2025-09-22T12:49:21+00:00,33
2026-09-23,2026-09-23T18:08:57.087452+00:00,84805b94-6eeb-42ff-abb7-b2d8614c2804,Contract Marriage with the Second Lead,ko,completed,2025,Reincarnation|Long Strip|Romance|Isekai|Drama|Fantasy|Web Comic|Adaptation|Full Color,safe,42,8.5,8.124246176822163,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,8953c4fe-54fe-41df-93cf-c8ddb9307684,Neon Revenge,ko,completed,2020,Action|Long Strip|Comedy|Crime|Drama|Delinquents|Web Comic|Full Color,safe,3008,8.1582,8.14012705260124,,25,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,9258cef1-3b0a-4a02-bccc-7e34580c5c2b,The Villainess Becomes a Mom,ko,completed,2022,Reincarnation|Time Travel|Long Strip|Romance|Magic|Isekai|Drama|Fantasy|Adaptation|Full Color,safe,4838,7.3942,7.622834205513238,,0,01e6dd3b-1d57-41b7-b83f-b4a2bebc146c,1,20,pt-br,2026-09-16T10:33:35+00:00,59
2026-09-23,2026-09-23T18:08:57.087452+00:00,999f8fac-db53-48cc-9030-1c0ad19c9812,Wanjeonmugyeolhan Gongjangnimkke,ko,ongoing,2025,Long Strip|Romance|Drama|Fantasy|Web Comic|Adaptation|Full Color,suggestive,38,,8.04959183829508,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,9cfa0ad8-5c01-4d03-823d-117470f540d7,Punghon,ko,completed,2020,Action|Long Strip|Martial Arts|Adventure|Drama|Fantasy|Web Comic|Adaptation|Full Color,safe,373,8.1111,8.11232871765042,,0,9abd6710-7ffd-41f2-a2a5-abb0947e970b,,21,pt-br,2025-09-27T18:48:53+00:00,21
2026-09-23,2026-09-23T18:08:57.087452+00:00,a6a21855-c647-483f-85cf-c17b8dd0ca58,The Archduke's Fabulous Fake Marriage,ko,ongoing,2023,Historical|Long Strip|Romance|Comedy|Isekai|Drama|Fantasy|Villainess|Adaptation|Full Color,safe,5136,8.2874,8.229832771119282,,5,c3fbc412-75f8-407d-820c-4a77d5aeb429,1,4,en,2024-02-06T17:49:28+00:00,0
2026-09-23,2026-09-23T18:08:57.087452+00:00,aa81f925-593c-4e84-8277-c6cc683eb85f,Surviving as a Butler at the Connate Castle,ko,ongoing,2026,Long Strip|Romance|Comedy|Crossdressing|Drama|Fantasy|Cooking|Full Color,safe,188,8.2222,8.11971024860432,,0,19f48e50-012d-4970-922e-429f060e16da,,13,en,2026-09-08T21:09:04+00:00,17
2026-09-23,2026-09-23T18:08:57.087452+00:00,ae0b0102-1adf-4fbe-a87b-04dd2fdde0ca,모르는 만화에 빙의했다,ko,cancelled,,Reincarnation|Romance|Comedy|Harem|Isekai|Adaptation,safe,440,8,8.092897892722874,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,b00ca6fd-4fab-4c8f-a981-4a89cefc5d89,The Villainess Is Retiring,ko,hiatus,2021,Reincarnation|Demons|Long Strip|Romance|Comedy|Magic|Isekai|Fantasy|Villainess|Web Comic|Adaptation|Full Color,safe,36942,8.9417,8.885275459404287,,255,630d31c0-1e93-4ad1-b10c-de1e2258526d,2,73,es-la,2024-07-21T22:06:51+00:00,21
2026-09-23,2026-09-23T18:08:57.087452+00:00,b6f9aaad-6787-460c-bbb8-af9eb7bcc3e0,Pipyemul Namjuui Eommaga Doeeotda,ko,completed,2023,Long Strip|Romance|Magic|Fantasy|Adaptation|Full Color,safe,5962,8.5871,8.498417918683545,,7,5613328a-4f0c-4530-80cc-03bde4762efa,,25,pl,2026-05-19T17:39:04+00:00,91
2026-09-23,2026-09-23T18:08:57.087452+00:00,bbed470c-5ca5-45ec-8101-474323387734,Survivalism,ko,ongoing,2026,Sci-Fi|Monsters|Action|Long Strip|Survival|Adventure|Isekai|Gore|Horror|Fantasy|Full Color,suggestive,9630,7.825,7.881775108407195,,11,a0591037-4f62-437f-98cc-78de7d171abc,,10,en,2026-09-20T09:29:19+00:00,27
2026-09-23,2026-09-23T18:08:57.087452+00:00,bc890658-888f-41b1-a333-07cb5f5f3625,Gajang Widaehan Masulsa,ko,ongoing,2026,Sci-Fi|Action|Long Strip|Magic|Drama|Fantasy|Full Color,safe,10,,8.04959183829508,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,bdf3be62-4fcf-4190-be5a-cf0bc1f3d120,a jovem princesa e a esperança de um divórcio,ko,ongoing,2023,Reincarnation|Long Strip|Romance|Isekai|Fantasy|Adaptation|Full Color,safe,211,7.2222,8.05399659043837,,0,0457f7e5-f2c2-470e-8997-d1d3f87a693e,,119,pt-br,2026-09-02T11:55:32+00:00,0
2026-09-23,2026-09-23T18:08:57.087452+00:00,becc3f3f-4d73-4fe6-a1d1-d7c67c3c285d,Lotto 1-deung do Chulgeunhamnida,ko,ongoing,2024,Long Strip|Romance|Office Workers|Drama|Web Comic|Adaptation|Full Color,safe,329,7.65,8.049982186494528,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,c22759b2-f492-471c-a80f-37e672cfb3b4,CookieRun: OvenSmash,ko,ongoing,2026,Sci-Fi|Action|Adventure|Web Comic,safe,6,,8.04959183829508,,0,86d98261-79bf-413c-a637-d66480afe3f0,,8,es,2026-09-09T20:21:38+00:00,14
2026-09-23,2026-09-23T18:08:57.087452+00:00,d2a01e38-1c0d-4e4b-a9ae-21d119e8b326,Demon King of the Royal Class,ko,cancelled,2023,Reincarnation|Action|Demons|Long Strip|Comedy|Adventure|Magic|Harem|Isekai|School Life|Fantasy|Web Comic|Slice of Life|Adaptation|Full Color,safe,11367,8.6775,8.616004449799982,,29,ce4cd555-09c4-4e18-8a29-fa0d3ca64e43,2,69,it,2026-09-10T09:51:21+00:00,63
2026-09-23,2026-09-23T18:08:57.087452+00:00,d87c0ba8-de4b-4e71-a278-816d6a1c5805,"Life, Once Again!",ko,hiatus,2023,Time Travel|Long Strip|Romance|Drama|School Life|Fantasy|Web Comic|Slice of Life|Adaptation|Full Color|Tragedy,safe,1749,8.3838,8.23085899225338,,3,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,db1f4c31-f92f-4f4f-a8c6-fc898e432888,Jeoldae Hoegwi,ko,ongoing,2024,Time Travel|Historical|Action|Long Strip|Martial Arts|Adventure|Wuxia|Fantasy|Adaptation|Full Color,suggestive,4420,9.0616,8.802620687929736,,6,21e4cff7-ddd1-4a04-a8cf-6b3570836afb,1,1,ro,2026-09-20T14:24:26+00:00,21
2026-09-23,2026-09-23T18:08:57.087452+00:00,dd16dbbc-c317-4f62-8cf5-3525b4083aab,Prologue-eseo 30-nyeoni Heulleotda,ko,ongoing,2026,Reincarnation|Action|Demons|Long Strip|Romance|Harem|Isekai|Drama|Web Comic|Adaptation|Full Color,safe,1216,8.425,8.232716680677452,,1,34fe8a25-65b0-43c6-8079-dc24c633bfbf,,4,en,2026-08-23T00:07:15+00:00,28
2026-09-23,2026-09-23T18:08:57.087452+00:00,e24d2233-6fe7-4766-8074-d25671522da9,Gollyun e Yong i Sanda,ko,ongoing,2026,Action|Long Strip|Martial Arts|Adventure|Full Color,safe,2,,8.04959183829508,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,e7a92445-d4ee-411a-8680-17dfd699ee5f,The Nerd Next Door Turned Out To Be The Magic Tower Master,ko,ongoing,2026,Reincarnation|Romance|Comedy|Drama,safe,55,,8.04959183829508,,0,ce3e132c-ed8e-405f-b29b-0bc1ffaea855,,4,pt-br,2026-09-15T20:11:17+00:00,18
2026-09-23,2026-09-23T18:08:57.087452+00:00,f0aee247-e44a-48b1-a00c-194043e43829,Space Marine ege Sangtaechang i Saenggim,ko,ongoing,2026,Sci-Fi|Action|Long Strip|Military|Fantasy|Aliens|Full Color,safe,112,9.2143,8.221159029511123,,0,,,,,,
2026-09-23,2026-09-23T18:08:57.087452+00:00,f8c98885-7da1-4a6f-9954-74cd8350c9e4,Hoeguihaenneunde Sesang i An Mangham,ko,cancelled,2025,Time Travel|Action|Long Strip|Comedy|Virtual Reality|Video Games|Fantasy|Adaptation|Full Color,safe,3741,8.2441,8.194731576936496,,12,d76fd22b-4cca-448b-be9a-7c4df1150f71,,2,pt-br,2025-12-10T00:52:05+00:00,69
2026-09-23,2026-09-23T18:08:57.087452+00:00,fa6793c8-7523-4f4a-93a1-1f44fd8110c4,Nuna-deul eul Bulkkeunhage Mandeuneun Yeonha Namchin,ko,completed,2018,Oneshot|Romance|Web Comic,safe,926,7.8374,7.977666589746281,,0,fd5b57c6-5df3-41c3-b7d9-e42b981fd5d2,,,id,2023-04-30T01:08:40+00:00,2
2026-09-23,2026-09-23T18:08:57.087452+00:00,fcea68c1-e1fb-41bd-8eb0-3cd8d6d97e7e,Gananhan Yeongji-ui Ju-ini Doeo Beoryeotda,ko,ongoing,2024,Reincarnation|Long Strip|Romance|Drama|Fantasy|Web Comic|Adaptation|Full Color,safe,126,8.125,8.113235522185564,,1,3c2d92d5-075e-4a16-98b5-1e8f10b78639,,11,es-la,2026-09-07T22:57:09+00:00,34
